연월일,시분초,온도,습도,강수량,풍향
2023-12-15,11:58:21,3℃,습도89%,강수량23.4mm,풍향 북동 6.2 m/s
2023-12-15,11:58:22,3℃,습도89%,강수량23.4mm,풍향 북동 6.2 m/s
2023-12-15,11:58:24,3℃,습도89%,강수량23.4mm,풍향 북동 6.2 m/s
2023-12-15,11:58:25,3℃,습도89%,강수량23.4mm,풍향 북동 6.2 m/s
2023-12-15,11:58:26,3℃,습도89%,강수량23.4mm,풍향 북동 6.2 m/s
2023-12-15,11:58:27,3℃,습도89%,강수량23.4mm,풍향 북동 6.2 m/s
2023-12-15,11:58:28,3℃,습도89%,강수량23.4mm,풍향 북동 6.2 m/s
2023-12-15,11:58:29,3℃,습도89%,강수량23.4mm,풍향 북동 6.2 m/s
2023-12-15,11:58:31,3℃,습도89%,강수량23.4mm,풍향 북동 6.2 m/s
2023-12-15,11:58:32,3℃,습도89%,강수량23.4mm,풍향 북동 6.2 m/s
2023-12-15,11:58:33,3℃,습도89%,강수량23.4mm,풍향 북동 6.2 m/s
2023-12-15,11:58:34,3℃,습도89%,강수량23.4mm,풍향 북동 6.2 m/s
2023-12-15,11:58:35,3℃,습도89%,강수량23.4mm,풍향 북동 6.2 m/s
2023-12-15,11:58:36,3℃,습도89%,강수량23.4mm,풍향 북동 6.2 m/s
2023-12-15,11:58:37,3℃,습도89%,강수량23.4mm,풍향 북동 6.2 m/s
